istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
224248280;17;2019-09-30;2019-10-18;2019-09-11 11:04:28
224248280;20;2019-11-05;2019-11-05;2019-09-19 08:52:54
224248280;31;2019-11-11;2019-11-15;2019-09-19 08:53:52
224248280;235;2019-10-16;2019-10-16;2019-09-30 13:29:02
224248280;396;2019-10-24;2019-10-24;2019-09-30 13:29:17
224248280;19;2019-09-24;2019-10-11;2019-09-30 13:43:37
224248280;325;2019-10-07;2019-10-11;2019-10-07 08:28:07
224248280;142;2019-10-08;2019-10-11;2019-10-08 15:14:42
224248280;335;2019-10-07;2019-10-11;2019-10-08 15:14:52
224248280;141;2019-09-26;2019-10-16;2019-10-08 15:15:29
