istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;apylinkes_tipas;etatinis_darbo_kruvis
224245280;3;2020-09-17 21:50:40;4;1,05
224245280;4;2020-09-17 21:50:40;4;0,50
224245280;12;2020-09-17 21:50:40;4;1,05
224245280;13;2020-09-17 21:50:40;4;1,05
224245280;14;2020-09-17 21:50:40;4;1,00
224245280;17;2020-09-17 21:50:40;4;1,05
224245280;19;2020-09-17 21:50:40;4;1,00
224245280;20;2020-09-17 21:50:40;4;0,30
224245280;30;2020-09-17 21:50:40;1;1,15
224245280;31;2020-09-17 21:50:40;3;1,00
224245280;141;2020-09-17 21:50:40;2;0,50
224245280;142;2020-09-17 21:50:40;4;1,00
224245280;235;2020-09-17 21:50:40;4;1,00
224245280;264;2020-09-17 21:50:40;4;1,05
224245280;335;2020-09-17 21:50:40;4;1,00
224245280;341;2020-09-17 21:50:40;2;1,00
224245280;396;2020-09-17 21:50:40;4;1,00
