istaigos_kodas;ataskaitinio_laikotarpio_pradzia;ataskaitinio_laikotarpio_pabaiga;gydytojo_id;prisirasiusiu_gyventoju_sk;darbo_valandu_kiekis;iraso_sukurimo_data
224245280;2020-04-01;2020-06-30;31;1281;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;19;1451;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;13;1479;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;12;1529;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;20;287;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;4;629;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;17;1516;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;14;1507;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;3;1446;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;142;1512;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;235;1143;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;264;1541;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;335;1568;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;396;1441;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;30;1054;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;141;568;0;2020-09-09 09:13:19
224245280;2020-04-01;2020-06-30;341;1035;0;2020-09-09 09:13:19
